SystemId,metervalue,meterDate,solarlog s.no,last transfer date,Device type,may -2021 data,jun- 2021 data,jun - may diff,july- jun diff,capacity,specific yield,Reporting status
36365,29567,2021-07-29T06:03:16,2033993051,01/07/2021 10:12,Meter,28515,29159,644,408,4.779,3.049053897,TRUE
25988,70314,2021-07-29T06:03:16,154946311,01/07/2021 10:12,Meter,68253,69477,1224,837,7.425,4.025974026,TRUE
36363,56190,2021-07-29T06:03:16,1228688258,01/07/2021 10:12,Meter,54255,55433,1178,757,6.9345,3.898725833,TRUE
23423,20672,2021-07-29T06:03:16,1497124424,01/07/2021 10:12,Meter,20074,20417,343,255,2.673,3.40708674,TRUE
39887,106898,2021-07-29T06:03:17,154948287,01/07/2021 10:12,Meter,103587,105576,1989,1322,12.3606,3.819740604,TRUE
40107,18488,2021-07-29T06:03:17,1228686282,01/07/2021 10:12,Meter,17829,18223,394,265,2.565,3.689780006,TRUE
40644,51109,2021-07-29T06:03:17,423375808,01/07/2021 10:12,Meter,49315,50400,1085,709,6.93,3.653885797,TRUE
40687,44269,2021-07-29T06:03:17,154941371,01/07/2021 10:12,Meter,42746,43678,932,591,6.318,3.340795007,TRUE
40698,50632,2021-07-29T06:03:18,691820125,01/07/2021 10:12,Meter,48919,49979,1060,653,7.956,2.931300725,TRUE
40898,49992,2021-07-29T06:03:18,423383218,01/07/2021 10:12,Meter,48417,49455,1038,537,7.488,2.561240842,TRUE
40699,50715,2021-07-29T06:03:18,154944335,01/07/2021 10:12,Meter,49206,50117,911,598,6.552,3.259637188,TRUE
40892,49198,2021-07-29T06:03:18,423375067,01/07/2021 10:12,Meter,47576,48573,997,625,7.056,3.163467768,TRUE
40894,28723,2021-07-29T06:03:19,960246905,01/07/2021 10:12,Meter,27643,28296,653,427,4.032,3.782242063,TRUE
40765,21864,2021-07-29T06:03:19,1765541818,01/07/2021 10:12,Meter,21041,21533,492,331,3.276,3.60849468,TRUE
37094,86584,2021-07-29T06:03:19,691806540,01/07/2021 10:12,Meter,84091,85600,1509,984,10.584,3.320375769,TRUE
36696,42286,2021-07-29T06:03:20,1765552686,01/07/2021 10:12,Meter,41054,41782,728,504,5.04,3.571428571,TRUE
39173,76738,2021-07-29T06:03:20,1765551451,01/07/2021 10:12,Meter,73982,75653,1671,1085,11.2455,3.445822774,TRUE
38813,74139,2021-07-29T06:03:20,423364446,01/07/2021 10:12,Meter,71865,73241,1376,898,11.016,2.911349725,TRUE
73790,78702,2021-07-29T06:03:20,154936184,01/07/2021 10:12,Meter,75419,77405,1986,1297,12.96,3.574184303,TRUE
39427,50397,2021-07-29T06:03:21,1765547005,01/07/2021 10:12,Meter,48233,49501,1268,896,7.9605,4.019847999,TRUE
41262,83128,2021-07-29T06:03:21,423377290,01/07/2021 10:12,Meter,80557,82113,1556,1015,10.0062,3.622753893,TRUE
38433,74365,2021-07-29T06:03:21,423372350,01/07/2021 10:12,Meter,72347,73625,1278,740,11.088,2.383529169,TRUE
25869,65994,2021-07-29T06:03:21,691817655,01/07/2021 10:12,Meter,63360,64984,1624,1010,11.232,3.211487586,TRUE
41097,76196,2021-07-29T06:03:22,691815679,01/07/2021 10:12,Meter,73778,75252,1474,944,9,3.746031746,TRUE
41094,45950,2021-07-29T06:03:22,1765557132,01/07/2021 10:12,Meter,44200,45252,1052,698,6.3,3.9569161,TRUE
14543,80146,2021-07-29T06:03:22,960244682,01/07/2021 10:12,Meter,77622,79137,1515,1009,10.068,3.579232647,TRUE
41093,62066,2021-07-29T06:03:22,2033982924,01/07/2021 10:12,Meter,60823,61295,472,771,9.45,2.9138322,TRUE
41092,99725,2021-07-29T06:03:23,423377043,01/07/2021 10:12,Meter,96126,98313,2187,1412,13.3515,3.776996699,TRUE
41091,51025,2021-07-29T06:03:23,1497118990,01/07/2021 10:12,Meter,49274,50354,1080,671,8.1,2.958553792,TRUE
41085,36642,2021-07-29T06:03:25,1765547252,01/07/2021 10:12,Meter,35385,36148,763,494,4.95,3.564213564,TRUE
41023,68976,2021-07-29T06:03:25,1228681342,01/07/2021 10:12,Meter,66814,68128,1314,848,8.1,3.738977072,TRUE
40912,71249,2021-07-29T06:03:25,1497112815,01/07/2021 10:12,Meter,69303,70474,1171,775,9.234,2.997462793,TRUE
40910,53552,2021-07-29T06:03:26,960250116,01/07/2021 10:12,Meter,51648,52799,1151,753,10.0035,2.688344794,TRUE
38313,78088,2021-07-29T06:03:26,1228691716,01/07/2021 10:12,Meter,75608,77075,1467,1013,9.4905,3.812082759,TRUE
39177,48479,2021-07-29T06:03:26,1765548487,01/07/2021 10:12,Meter,46474,47670,1196,809,7.695,3.754757264,TRUE
37854,37442,2021-07-29T06:03:26,1228683071,01/07/2021 10:12,Meter,35962,36844,882,598,5.544,3.852298495,TRUE
39381,41292,2021-07-29T06:03:28,960244188,01/07/2021 10:12,Meter,40004,40775,771,517,5.3865,3.427881874,TRUE
39480,77920,2021-07-29T06:03:28,1228685541,01/07/2021 10:12,Meter,74798,76633,1835,1287,11.907,3.860274268,TRUE
40903,70436,2021-07-29T06:03:29,1497121460,01/07/2021 10:12,Meter,68237,69557,1320,879,9.072,3.460411943,TRUE
40116,42236,2021-07-29T06:03:29,960246164,01/07/2021 10:12,Meter,40813,41633,820,603,5.85,3.681318681,TRUE
40115,49283,2021-07-29T06:03:29,2033987864,01/07/2021 10:12,Meter,47490,48590,1100,693,8.1,3.055555556,TRUE
40114,71768,2021-07-29T06:03:29,960247646,01/07/2021 10:12,Meter,69410,70847,1437,921,8.1,4.060846561,TRUE
40110,41840,2021-07-29T06:03:30,2033987617,01/07/2021 10:12,Meter,40714,41370,656,470,4.95,3.391053391,TRUE
40066,35959,2021-07-29T06:03:30,1765551204,01/07/2021 10:12,Meter,34751,35457,706,502,4.05,4.42680776,TRUE
40000,28476,2021-07-29T06:03:30,2033986629,01/07/2021 10:12,Meter,27306,27979,673,497,4.788,3.707184628,TRUE
40908,47405,2021-07-29T06:03:30,1497108122,01/07/2021 10:12,Meter,46009,46826,817,579,5.544,3.729901051,TRUE
39395,64537,2021-07-29T06:03:31,1497106146,01/07/2021 10:12,Meter,62341,63681,1340,856,9.8685,3.097879979,TRUE
38922,59538,2021-07-29T06:03:32,1765550463,01/07/2021 10:12,Meter,57534,58706,1172,832,7.695,3.861505616,TRUE
18830,73885,2021-07-29T06:03:32,423377784,01/07/2021 10:12,Meter,71801,73011,1210,874,9.18,3.400248988,TRUE
17620,69667,2021-07-29T06:03:32,1765554909,01/07/2021 10:12,Meter,67359,68720,1361,947,9.72,3.479570841,TRUE
39223,164046,2021-07-29T06:03:33,960243200,01/07/2021 10:12,Meter,159092,162081,2989,1965,17.658,3.974321635,TRUE
38924,64496,2021-07-29T06:03:33,154935937,01/07/2021 10:12,Meter,62190,63625,1435,871,9.324,3.336244408,TRUE
45946,91440,2021-07-29T06:03:33,1765560837,01/07/2021 10:12,Meter,88420,90184,1764,1256,11.475,3.909119203,TRUE
38877,53555,2021-07-29T06:03:33,1497122448,01/07/2021 10:12,Meter,51768,52849,1081,706,6.21,4.060271452,TRUE
25302,59714,2021-07-29T06:03:34,154929762,01/07/2021 10:12,Meter,57771,58920,1149,794,7.3575,3.854181836,TRUE
41971,29909,2021-07-29T06:03:34,154935196,01/07/2021 10:12,Meter,28881,29499,618,410,4.4145,3.316991085,TRUE
39771,131884,2021-07-29T06:03:34,2033977490,01/07/2021 10:12,Meter,127190,129938,2748,1946,17.856,3.892249104,TRUE
81874,60020,2021-07-29T06:03:34,960372381,01/07/2021 10:12,Meter,57182,58821,1639,1199,9.608,4.456851433,TRUE
16488,58787,2021-07-29T06:03:35,960249375,01/07/2021 10:12,Meter,57005,58051,1046,736,6.48,4.05643739,TRUE
38449,34926,2021-07-29T06:03:35,1228677143,01/07/2021 10:12,Meter,33890,34514,624,412,5.94,2.477152477,TRUE
42846,68005,2021-07-29T06:03:35,423377537,01/07/2021 10:12,Meter,66474,67006,532,999,8.775,4.065934066,TRUE
43028,68213,2021-07-29T06:03:35,154940877,01/07/2021 10:12,Meter,65972,67332,1360,881,9.072,3.468285462,TRUE
43033,47791,2021-07-29T06:03:36,2033976996,01/07/2021 10:12,Meter,45957,47077,1120,714,7.056,3.613945578,TRUE
39944,49100,2021-07-29T06:03:36,423379266,01/07/2021 10:12,Meter,47595,48503,908,597,5.886,3.622396971,TRUE
27503,38612,2021-07-29T06:03:38,691817408,01/07/2021 10:13,Meter,37263,38084,821,528,5.796,3.253475303,TRUE
20823,58999,2021-07-29T06:03:39,423370868,01/07/2021 10:13,Meter,57277,58311,1034,688,7.425,3.309283309,TRUE
39606,39084,2021-07-29T06:03:39,1765549228,01/07/2021 10:13,Meter,37682,38515,833,569,5.796,3.50611259,TRUE
57527,59114,2021-07-29T06:03:39,691810245,01/07/2021 10:13,Meter,56284,58015,1731,1099,10.8,3.634259259,TRUE
43204,75878,2021-07-29T06:03:39,154929515,01/07/2021 10:13,Meter,73078,74781,1703,1097,11.178,3.5049715,TRUE
43261,33520,2021-07-29T06:03:40,691809257,01/07/2021 10:13,Meter,32278,33036,758,484,5.589,3.092809856,TRUE
4614,48850,2021-07-29T06:03:40,154937419,01/07/2021 10:13,Meter,47153,48175,1022,675,5.922,4.070777247,TRUE
43301,53587,2021-07-29T06:03:40,960236037,01/07/2021 10:13,Meter,51893,52887,994,700,7.56,3.306878307,TRUE
25920,29508,2021-07-29T06:03:40,960248634,01/07/2021 10:13,Meter,28631,29160,529,348,3.713,3.347312531,TRUE
26183,49061,2021-07-29T06:03:41,1228688011,01/07/2021 10:13,Meter,47358,48380,1022,681,6.633,3.666731279,TRUE
42383,48666,2021-07-29T06:03:41,1765552192,01/07/2021 10:13,Meter,47020,48006,986,660,8.82,2.67249757,TRUE
36390,33411,2021-07-29T06:03:41,1228678625,01/07/2021 10:13,Meter,32390,33005,615,406,4.68,3.098290598,TRUE
43074,94238,2021-07-29T06:03:41,1765548734,01/07/2021 10:13,Meter,91214,93029,1815,1209,12.6,3.426870748,TRUE
35056,39132,2021-07-29T06:03:42,1228689987,01/07/2021 10:13,Meter,37784,38594,810,538,4.32,4.447751323,TRUE
24867,46931,2021-07-29T06:03:42,423383465,01/07/2021 10:13,Meter,45366,46312,946,619,6.318,3.499072944,TRUE
36617,75312,2021-07-29T06:03:42,2033995274,01/07/2021 10:13,Meter,72833,74352,1519,960,9.828,3.488574917,TRUE
88888,10711,2021-07-29T06:03:42,1765664577,01/07/2021 10:13,Meter,10108,10473,365,238,3.5316,2.406841092,TRUE
